text,true,bert_pred,claude_pred
"Gimli had no idea that Balin had been dead for so long because he had not been in Moria for a very long time. When the group of dwarves and hobbits entered Moria, they discovered that the dwarves who had previously lived there, including Balin, had all been killed in a battle many years earlier. Gimli was shocked and saddened to learn this news because he had not known that his friends had died.",1,0,1
"Because the sensor , or film , is rectangular .",0,0,1
The Outer Space Treaty agrees that no country signing it shall place any weapon of mass destruction in space .,0,0,1
"His terse writing style was innovative for its time . Some say the message in Hemingway 's writing lies with what is not said ( that 's what I think anyway ) . Also his themes of masculinity , honor and truth speak to many . It also does n't hurt that he was an extremely interesting man , who lived a unique life .",0,0,1
"Agnosticism is saying we ca n't know for sure whether or not there is a god . It is compatible with both theism and atheism . For instance , I could be an agnostic theist — I believe in god , but do n't know for sure . Atheism is not believing in god . Secular humanism is an ethical stance that many atheists adopt , essentially saying that we do n't believe in god , but we should be good to each other anyway , look after the planet , promote equality and fairness , simply because this life is all we have . Secular humanists tolerate religion , but do not give special privileges to religion . They generally believe that indoctrination of children is wrong , and that children should be allowed to make up their own minds when they 're old enough . Although they ca n't stop parents bringing their children religious , this means they oppose state - funded religious schools . Many atheists have secular humanist values without even being aware that the term applies to them . Humanist associations try to promote awareness of the term to unite people to support humanist causes .",0,0,1
[ This question has been asked an average of 5.5 times per week . ] ( URL_0 ),0,0,1
"Squatting puts the heavy lifting duties on the massive powerful muscles and thick bones of the legs . Bending puts the lifting duties on the smaller stabilizing muscles and fragile vertebra and cartilage in the spine . The spine can carry a massive load as long as it 's compressed , it 's easily injured when trying to support much weight while bent .",0,0,1
Libya shot a policewoman in London when she was outside the Libyian Embassy then they exploded an plane over Scotland .,0,0,1
"You know that one guy down the street who always does good things , but for the most part people ignore him ? If it were n't for you parents you would n't know about that guy ? Well , people like to talk about bad things . Bad things travel fast and freely . You need people to talk about good things and sometimes you have to buy people to make that happen . You are buying people to say good things about you , so you can do more good things . The more good things you do , the more people you can buy to do say good things about you . They , mostly being good people , also get to say good things about themselves while saying good things about that guy down the street . Ultimately , the more good things said about the guy up the street eventually leads to good things be said about the people who say good things about the guy down the street . It 's kind of like a circle , but with people instead .",0,0,1
"Vomiting has the potential to increase the damage of the throat and esophagus which the poison has damaged on the way down . Keeping the poison in the stomach and , in this case , diluting it , helps limit the damage . The stomach is a pretty harsh environment and is typically acidic , so it can handle , to a limited degree , acidic and basic , ( meaning alkali or caustic ) , poisons .",0,0,1
"A dogs sense of smell is 1,000 to 10,000,000 more complex then humans . A human has about 5 million scent glands , compared to a dog , who has anywhere from 125 million to 300 million and the section of their brain for analyzing smells is 40 times larger despite their brain being 10 % of the size . In effect dogs see the world through their sense of smell . And what you might regard as simply a disgusting smell they may regard as a rainbow of different expressions that tell a story about a event .",0,0,1
"Canada and the United States are two separate countries with their own governments and histories. They have a close relationship and share a long border, but they have never been absorbed into each other. They have always remained independent and sovereign nations.",1,0,1
"Because the teller ca n't be positive that the robber is unarmed . The money in the bank is FDIC insured , so they do n't really lose anything when they 're robbed . If a teller or a customer gets injured or killed trying to stop a robbery , though , that 's a lot of liability on them .",0,0,1
The carat unit is the level of purity of the gold . If it 's less than pure gold ( 24k ) then the gold has been mixed with other metals . The various other metals create variation of colors .,0,0,1
things get wet when near water . Water makes mold .,0,0,1
To get you used to and comfortable with that service . That way when you have a need either personally or for a business to have high capacity paid cloud storage you 'll naturally want to go with the product you already trust .,0,0,1
"Finding the volume of solids with sides that can be represented by an equation , like if you have a lathe that can move its cutting bit in and out based on an equation like y = x^2 , you can use calculus to find the volume of the piece of metal you machined with the lathe . You can also find the rate at which a container will fill up if it is both gaining and losing liquid , even if those rates of liquid being added and removed change over time . You can combine the two and find how high the water level would be in a container with radius = height^2 after some time of being filled at a certain rate . Flow of current in electrical circuits is similar to flow of liquids , and can also be calculated with calculus . You can also calculate the force of water exerted on a dam holding water back . The force exerted on each part of the dam changes with the depth of the water , and you can use calculus to sum up all of those forces from depth=0 up to the top of the water level . There are also applications in computer graphics , although there 's probably more trigonometry and algebra than calculus . If you want to draw a curve on the screen , calculus can help you find equations with endpoints and slopes that will match up with each other . Calculus overall in the simplest terms is a set of tools used to work on sums , series , and rates of change . Sums like using the disc method to find the volume of the aforementioned solids machined by a lathe . Series like trying to determine if the sum of N!/2^N from N=0 up to N=∞ is infinite or finite ( closely related to rates of change , i.e. which one grows faster as N approaches infinity , 2^N or N ! , is there a limit , does it approach some value ? ) Rates of change are used in sums , like what is the total change in volume of water when two different rates of change are pouring into one container .",0,1,0
